es,var,study,se,z,count,w
0.557,0.023255814,Jia et al. 1997,0.15249857,3.652493254,19,0.052631579
0.653,0.023255814,Jia et al. 1997,0.15249857,4.282007352,19,0.052631579
-1.186,0.052631579,Jia et al. 1997,0.229415734,-5.169654144,19,0.052631579
-1.186,0.052631579,Jia et al. 1997,0.229415734,-5.169654144,19,0.052631579
-1.186,0.052631579,Jia et al. 1997,0.229415734,-5.169654144,19,0.052631579
-1.186,0.052631579,Jia et al. 1997,0.229415734,-5.169654144,19,0.052631579
0.442,0.047619048,Zhou et al. 2011,0.218217891,2.025498449,8,0.125
0.188,0.090909091,Zhou et al. 2011,0.301511345,0.62352546,8,0.125
0.394,0.047619048,Zhou et al. 2011,0.218217891,1.805534817,8,0.125
0.499,0.090909091,Zhou et al. 2011,0.301511345,1.65499577,8,0.125
0.096,0.047619048,Zhou et al. 2011,0.218217891,0.439927265,8,0.125
0.395,0.090909091,Zhou et al. 2011,0.301511345,1.310066792,8,0.125
0.096,0.047619048,Zhou et al. 2011,0.218217891,0.439927265,8,0.125
0.334,0.090909091,Zhou et al. 2011,0.301511345,1.107752679,8,0.125
0.03,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.198997486,14,0.071428571
0.07,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.464327468,14,0.071428571
0.01,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.066332495,14,0.071428571
0.08,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.530659963,14,0.071428571
0.06,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.397994972,14,0.071428571
0.172,0.022727273,Fedorka & Mousseau 2004,0.150755673,1.140918921,14,0.071428571
0.08,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.530659963,14,0.071428571
0.4,0.022727273,Fedorka & Mousseau 2004,0.150755673,2.653299816,14,0.071428571
-0.02,0.022727273,Fedorka & Mousseau 2004,0.150755673,-0.132664991,14,0.071428571
-0.377,0.022727273,Fedorka & Mousseau 2004,0.150755673,-2.500735077,14,0.071428571
-0.01,0.022727273,Fedorka & Mousseau 2004,0.150755673,-0.066332495,14,0.071428571
-0.01,0.022727273,Fedorka & Mousseau 2004,0.150755673,-0.066332495,14,0.071428571
-0.03,0.022727273,Fedorka & Mousseau 2004,0.150755673,-0.198997486,14,0.071428571
0.02,0.022727273,Fedorka & Mousseau 2004,0.150755673,0.132664991,14,0.071428571
0.553,0.083333333,Calsbeek & Bonneaud 2008,0.288675134,1.915648197,1,1
0.27,0.05,Cox & Calsbeek 2010,0.223606798,1.207476708,2,0.5
1.04,0.041666667,Cox & Calsbeek 2010,0.204124146,5.094938645,2,0.5
-0.019,0.041666667,Cox et al. 2011,0.204124146,-0.09308061,2,0.5
0.115,0.05,Cox et al. 2011,0.223606798,0.514295635,2,0.5
0.667,0.058823529,Mitchell 1990,0.242535624,2.750111462,1,1
3.8,0.333333333,Hill 1991,0.577350269,6.581793072,1,1
-0.252,0.083333333,Chagre et al. 2011,0.288675134,-0.872953609,3,0.333333333
-0.326,0.083333333,Chagre et al. 2011,0.288675134,-1.129297129,3,0.333333333
0.168,0.083333333,Chagre et al. 2011,0.288675134,0.581969073,3,0.333333333
0.315,0.142857143,Loyau & Lacroix 2010,0.377964473,0.833411663,2,0.5
-0.155,0.142857143,Loyau & Lacroix 2010,0.377964473,-0.410091453,2,0.5
0.282,0.010638298,Day et al. 1996,0.103142125,2.734091423,5,0.2
0.328,0.012820513,Day et al. 1996,0.113227704,2.896817544,5,0.2
0.351,0.010309278,Day et al. 1996,0.101534615,3.456949147,5,0.2
0.389,0.012048193,Day et al. 1996,0.109764261,3.543958629,5,0.2
0.733,0.007518797,Day et al. 1996,0.086710997,8.453368378,5,0.2
0.733,0.007518797,Wilcockson et al. 1995,0.086710997,8.453368378,2,0.5
0.279,0.007518797,Wilcockson et al. 1995,0.086710997,3.217584962,2,0.5
0.24,0.028571429,Kemp & Rutowski 2007,0.169030852,1.419859137,9,0.111111111
0.387,0.028571429,Kemp & Rutowski 2007,0.169030852,2.289522859,9,0.111111111
0.495,0.028571429,Kemp & Rutowski 2007,0.169030852,2.928459471,9,0.111111111
0.599,0.038461538,Kemp & Rutowski 2007,0.196116134,3.054312707,9,0.111111111
0.729,0.038461538,Kemp & Rutowski 2007,0.196116134,3.717185248,9,0.111111111
0.48,0.038461538,Kemp & Rutowski 2007,0.196116134,2.447529381,9,0.111111111
0.416,0.038461538,Kemp & Rutowski 2007,0.196116134,2.12119213,9,0.111111111
0.281,0.038461538,Kemp & Rutowski 2007,0.196116134,1.432824492,9,0.111111111
0.661,0.038461538,Kemp & Rutowski 2007,0.196116134,3.370451919,9,0.111111111
0.746,0.142857143,Huuskonen et al. 2009,0.377964473,1.973730477,1,1
0.151,0.142857143,Kekalainen et al. 2010a,0.377964473,0.399508448,2,0.5
0.129,0.142857143,Kekalainen et al. 2010a,0.377964473,0.341301919,2,0.5
0.02,0.142857143,Wedekind et al. 2001,0.377964473,0.052915026,2,0.5
0.091,0.142857143,Wedekind et al. 2001,0.377964473,0.240763369,2,0.5
0.161,0.2,Wedekind et al. 2008a,0.447213595,0.360006944,2,0.5
0.02,0.142857143,Wedekind et al. 2008a,0.377964473,0.052915026,2,0.5
-0.095,0.1,Kraaijeveld et al. 2004,0.316227766,-0.300416378,2,0.5
0.13,0.025,Kraaijeveld et al. 2004,0.158113883,0.822192192,2,0.5
0.736,0.083333333,Polak et al. 2004,0.288675134,2.549578794,2,0.5
1.133,0.2,Polak et al. 2004,0.447213595,2.533465019,2,0.5
0.113,0.005181347,Leibowitz et al. 1995,0.071981574,1.569846194,2,0.5
0.17,0.005181347,Leibowitz et al. 1995,0.071981574,2.361715512,2,0.5
0.248,0.009803922,Norry et al. 1997,0.099014756,2.50467717,2,0.5
0.51,0.009803922,Norry et al. 1997,0.099014756,5.150747405,2,0.5
-0.196,0.01754386,Aspi & Hoikkala 1993,0.132453237,-1.479767535,8,0.125
0.079,0.01754386,Aspi & Hoikkala 1993,0.132453237,0.596436914,8,0.125
0,0.012195122,Aspi & Hoikkala 1993,0.110431526,0,8,0.125
-0.016,0.012195122,Aspi & Hoikkala 1993,0.110431526,-0.144886162,8,0.125
-0.027,0.00729927,Connallon & Jakubowski 2009,0.085435765,-0.316026899,1,1
0.045,0.003058104,Gromko 1987,0.055300127,0.813741356,2,0.5
0.03,0.003058104,Gromko 1987,0.055300127,0.542494237,2,0.5
0.043,0.024390244,Ritchie & Kyriacou 1994,0.156173762,0.275334342,2,0.5
-0.076,0.024390244,Ritchie & Kyriacou 1994,0.156173762,-0.486637441,2,0.5
0.086,0.012820513,Aspi & Hoikkala 1993,0.113227704,0.759531429,8,0.125
0.125,0.012820513,Aspi & Hoikkala 1993,0.113227704,1.103970101,8,0.125
0.228,0.018867925,Aspi & Hoikkala 1993,0.137360566,1.659865034,8,0.125
0.341,0.018867925,Aspi & Hoikkala 1993,0.137360566,2.482517441,8,0.125
-0.247,0.015873016,Hine et al. 2002,0.125988158,-1.960501714,1,1
0.097,0.00877193,Boake & Konigsberg 1998,0.093658582,1.03567658,2,0.5
0.125,0.00877193,Boake & Konigsberg 1998,0.093658582,1.334634768,2,0.5
0.075,0.000856164,Gustafsson et al. 1995,0.02926028,2.563201698,1,1
0.209,0.002369668,Qvarnstrom 1999,0.048679236,4.293411687,1,1
-0.099,0.007194245,Szollosi et al. 2009,0.084818895,-1.167192754,8,0.125
-0.029,0.007575758,Szollosi et al. 2009,0.08703883,-0.333184624,8,0.125
0.013,0.007575758,Szollosi et al. 2009,0.08703883,0.149358625,8,0.125
0.015,0.007142857,Szollosi et al. 2009,0.084515425,0.177482395,8,0.125
0.04,0.007575758,Szollosi et al. 2009,0.08703883,0.459564999,8,0.125
0.043,0.007142857,Szollosi et al. 2009,0.084515425,0.508782866,8,0.125
0.066,0.007575758,Szollosi et al. 2009,0.08703883,0.758282248,8,0.125
0.089,0.007142857,Szollosi et al. 2009,0.084515425,1.053062212,8,0.125
0.175,0.029411765,Wilk  2009,0.171498586,1.020416576,2,0.5
0.343,0.029411765,Wilk  2009,0.171498586,2.00001649,2,0.5
-0.054,0.001485884,Sirkia et al. 2010,0.038547166,-1.400881199,1,1
0.531,0.058823529,Tomkins & Simmons 1999,0.242535624,2.189369095,1,1
-0.036,0.166666667,Rudolfsen et al. 2005,0.408248291,-0.088181631,5,0.2
-0.087,0.166666667,Rudolfsen et al. 2005,0.408248291,-0.213105607,5,0.2
-0.04,0.166666667,Rudolfsen et al. 2005,0.408248291,-0.09797959,5,0.2
-0.093,0.166666667,Rudolfsen et al. 2005,0.408248291,-0.227802546,5,0.2
0.093,0.166666667,Rudolfsen et al. 2005,0.408248291,0.227802546,5,0.2
1.297,0.026315789,Parker & Garant_2004,0.16222142,7.995245034,1,1
0.14,0.032258065,Parker 2003,0.179605303,0.779487005,4,0.25
0.194,0.032258065,Parker 2003,0.179605303,1.080146278,4,0.25
0.26,0.032258065,Parker 2003,0.179605303,1.447618723,4,0.25
0.462,0.032258065,Parker 2003,0.179605303,2.572307116,4,0.25
1.415,0.333333333,Bakker 1993,0.577350269,2.450851894,2,0.5
0.059,0.037037037,Barber et al. 2001,0.19245009,0.306572993,4,0.25
0.069,0.037037037,Barber et al. 2001,0.19245009,0.358534517,4,0.25
0.359,0.066666667,Barber et al. 2001,0.25819889,1.390401018,4,0.25
-0.265,0.037037037,Barber et al. 2001,0.19245009,-1.376980393,4,0.25
0.552,0.5,Arellano-Aguilar & Macias Garcia 2008,0.707106781,0.780645886,2,0.5
1.934,0.5,Arellano-Aguilar & Macias Garcia 2008,0.707106781,2.73508903,2,0.5
1.11,0.125,Wedell et al. 1999,0.353553391,3.139554108,1,1
-0.049,0.015625,Kleven et al. 2006,0.125,-0.392,2,0.5
0.026,0.016393443,Kleven et al. 2006,0.128036881,0.203066489,2,0.5
0.171,0.011363636,Cothran 2008,0.106600356,1.604122216,5,0.2
-0.078,0.023809524,Cothran 2008,0.154303351,-0.505497772,5,0.2
-0.082,0.015151515,Cothran 2008,0.12309149,-0.666171153,5,0.2
0.004,0.012658228,Cothran 2008,0.112508791,0.035552777,5,0.2
0.208,0.013157895,Cothran 2008,0.114707868,1.813301942,5,0.2
0.206,0.014705882,Alatalo et al. 1998,0.121267811,1.698719538,1,1
0.151,0.142857143,Doty & Welch 2001,0.377964473,0.399508448,2,0.5
0.475,0.142857143,Doty & Welch 2001,0.377964473,1.256731872,2,0.5
0.183,0.047619048,Welch 2003,0.218217891,0.838611349,4,0.25
0.54,0.047619048,Welch 2003,0.218217891,2.474590865,4,0.25
-0.415,0.047619048,Welch 2003,0.218217891,-1.901768906,4,0.25
-0.414,0.047619048,Welch 2003,0.218217891,-1.89718633,4,0.25
0.505,0.066666667,Welch et al. 1998,0.25819889,1.955856585,8,0.125
-0.318,0.066666667,Welch et al. 1998,0.25819889,-1.231608701,8,0.125
-0.132,0.066666667,Welch et al. 1998,0.25819889,-0.5112338,8,0.125
0.439,0.066666667,Welch et al. 1998,0.25819889,1.700239685,8,0.125
-0.069,0.066666667,Welch et al. 1998,0.25819889,-0.26723585,8,0.125
0.244,0.066666667,Welch et al. 1998,0.25819889,0.945007934,8,0.125
-0.206,0.066666667,Welch et al. 1998,0.25819889,-0.797834567,8,0.125
0.646,0.066666667,Welch et al. 1998,0.25819889,2.501947235,8,0.125
0.263,0.006134969,Horne & Ylonen 1998,0.078326043,3.357759312,1,1
0.436,0.03030303,Kruczek & Zatorska 2005,0.174077655,2.504629326,6,0.166666667
0.548,0.032258065,Kruczek & Zatorska 2005,0.179605303,3.051134848,6,0.166666667
0.823,0.032258065,Kruczek & Zatorska 2005,0.179605303,4.582270036,6,0.166666667
0.988,0.033333333,Kruczek & Zatorska 2005,0.182574185,5.411498895,6,0.166666667
0.106,0.032258065,Kruczek & Zatorska 2005,0.179605303,0.590183018,6,0.166666667
0.12,0.033333333,Kruczek & Zatorska 2005,0.182574185,0.657267072,6,0.166666667
-0.356,0.03125,Mills et al. 2007,0.176776695,-2.013840113,3,0.333333333
0.444,0.03030303,Mills et al. 2007,0.174077655,2.550585828,3,0.333333333
0.095,0.025641026,Mills et al. 2007,0.160128155,0.593274806,3,0.333333333
0.289,0.020408163,Oksanen et al. 1999,0.142857142,2.023000013,1,1
0.788,0.111111111,Watson 1998,0.333333333,2.364000001,1,1
-0.217,0.125,Pitcher & Neff 2007,0.353553391,-0.613768686,2,0.5
0.033,0.125,Pitcher & Neff 2007,0.353553391,0.093338095,2,0.5
0.885,0.111111111,Kotiaho et al. 2001,0.333333333,2.655000001,1,1
-0.225,0.014084507,Kurtz & Sauer 1999,0.118678166,-1.895883702,4,0.25
-0.132,0.014084507,Kurtz & Sauer 1999,0.118678166,-1.112251772,4,0.25
0.234,0.01754386,Kurtz & Sauer 1999,0.132453237,1.76666124,4,0.25
0.323,0.01754386,Kurtz & Sauer 1999,0.132453237,2.438596498,4,0.25
-0.129,0.041666667,Kurtz 2007,0.204124146,-0.631968351,5,0.2
-0.072,0.041666667,Kurtz 2007,0.204124146,-0.352726522,5,0.2
0.017,0.041666667,Kurtz 2007,0.204124146,0.083282651,5,0.2
0.15,0.041666667,Kurtz 2007,0.204124146,0.73484692,5,0.2
0.278,0.041666667,Kurtz 2007,0.204124146,1.361916292,5,0.2
0.84,0.04,Hoefler et al. 2009,0.2,4.2,2,0.5
0.602,0.04,Hoefler et al. 2009,0.2,3.01,2,0.5
0.115,0.013513514,Hadfield et al. 2006,0.116247641,0.989267388,4,0.25
-0.042,0.013513514,Hadfield et al. 2006,0.116247641,-0.361297655,4,0.25
-0.151,0.004761905,Hadfield et al. 2006,0.069006558,-2.188197834,4,0.25
0.05,0.004761905,Hadfield et al. 2006,0.069006558,0.724568819,4,0.25
0.211,0.001904762,Jensen et al. 2008,0.043643579,4.834617237,2,0.5
0.216,0.001901141,Jensen et al. 2008,0.043602076,4.953892603,2,0.5
0.687,0.2,Petrie 1994,0.447213595,1.536178701,4,0.25
1.221,0.2,Petrie 1994,0.447213595,2.730239001,4,0.25
0.793,0.2,Petrie 1994,0.447213595,1.773201906,4,0.25
0.95,0.2,Petrie 1994,0.447213595,2.124264579,4,0.25
0.195,0.018867925,Petrie et al. 2009,0.137360566,1.419621411,3,0.333333333
0.853,0.333333333,Petrie et al. 2009,0.577350269,1.47743934,3,0.333333333
0.281,0.012987013,Petrie et al. 2009,0.113960577,2.465764992,3,0.333333333
0.109,0.071428571,von Schantz et al. 1994,0.267261241,0.407840656,1,1
-3.8,0.027777778,Brooks 2000,0.166666667,-22.79999991,6,0.166666667
-0.316,0.027777778,Brooks 2000,0.166666667,-1.895999992,6,0.166666667
-0.049,0.027777778,Brooks 2000,0.166666667,-0.293999999,6,0.166666667
0.712,0.03030303,Brooks 2000,0.174077655,4.090128625,6,0.166666667
0.13,0.027777778,Brooks 2000,0.166666667,0.779999997,6,0.166666667
0.537,0.033333333,Brooks 2000,0.182574185,2.941270149,6,0.166666667
0.195,0.027027027,Evans 2010,0.164398987,1.186138694,14,0.071428571
-0.485,0.027027027,Evans 2010,0.164398987,-2.950139829,14,0.071428571
3.8,0.027027027,Evans 2010,0.164398987,23.11449763,14,0.071428571
-0.593,0.027027027,Evans 2010,0.164398987,-3.607078182,14,0.071428571
0.071,0.027027027,Evans 2010,0.164398987,0.43187614,14,0.071428571
3.8,0.027027027,Evans 2010,0.164398987,23.11449763,14,0.071428571
-0.089,0.027027027,Evans 2010,0.164398987,-0.541365865,14,0.071428571
0.095,0.027027027,Evans 2010,0.164398987,0.577862441,14,0.071428571
-0.011,0.027027027,Evans 2010,0.164398987,-0.066910388,14,0.071428571
0.021,0.027027027,Evans 2010,0.164398987,0.127738013,14,0.071428571
-0.207,0.027027027,Evans 2010,0.164398987,-1.259131844,14,0.071428571
-0.092,0.027027027,Evans 2010,0.164398987,-0.559614153,14,0.071428571
-0.13,0.027027027,Evans 2010,0.164398987,-0.790759129,14,0.071428571
-0.08,0.027027027,Evans 2010,0.164398987,-0.486621003,14,0.071428571
-0.172,0.023809524,Evans et al. 2004,0.154303351,-1.114687396,9,0.111111111
-0.073,0.022727273,Evans et al. 2004,0.150755673,-0.484227216,9,0.111111111
0.075,0.022727273,Evans et al. 2004,0.150755673,0.497493716,9,0.111111111
0.02,0.023255814,Evans et al. 2004,0.15249857,0.13114877,9,0.111111111
0.022,0.023255814,Evans et al. 2004,0.15249857,0.144263647,9,0.111111111
0.468,0.022222222,Evans et al. 2004,0.149071198,3.139439456,9,0.111111111
-0.086,0.023255814,Evans et al. 2004,0.15249857,-0.563939713,9,0.111111111
-0.084,0.023255814,Evans et al. 2004,0.15249857,-0.550824835,9,0.111111111
0.227,0.024390244,Evans et al. 2004,0.156173762,1.453509199,9,0.111111111
0.735,0.029411765,Houde 1992,0.171498586,4.285749621,2,0.5
0.569,0.028571429,Houde 1992,0.169030852,3.366249371,2,0.5
0.748,0.022727273,Karino & Hajima 2001,0.150755673,4.961670657,4,0.25
0.303,0.03125,Karino & Hajima 2001,0.176776695,1.714026838,4,0.25
0.32,0.022727273,Karino & Hajima 2001,0.150755673,2.122639853,4,0.25
0.738,0.03125,Karino & Hajima 2001,0.176776695,4.174758436,4,0.25
0.693,0.071428571,Reynolds & Gross 1992,0.267261241,2.592968577,10,0.1
-0.02,0.071428571,Reynolds & Gross 1992,0.267261241,-0.074833148,10,0.1
-0.06,0.071428571,Reynolds & Gross 1992,0.267261241,-0.224499444,10,0.1
0.775,0.090909091,Reynolds & Gross 1992,0.301511345,2.570384211,10,0.1
-0.277,0.071428571,Reynolds & Gross 1992,0.267261241,-1.036439099,10,0.1
-0.192,0.090909091,Reynolds & Gross 1992,0.301511345,-0.636791959,10,0.1
-0.06,0.071428571,Reynolds & Gross 1992,0.267261241,-0.224499444,10,0.1
0.192,0.090909091,Reynolds & Gross 1992,0.301511345,0.636791959,10,0.1
0.678,0.071428571,Reynolds & Gross 1992,0.267261241,2.536843716,10,0.1
0.775,0.071428571,Reynolds & Gross 1992,0.267261241,2.899784483,10,0.1
0.45,0.018181818,Bounduriansky & Rowe 2005,0.134839972,3.337289336,1,1
0.196,0.058823529,Sheldon et al. 2003,0.242535624,0.808128705,1,1
0.256,0.007633588,Suk et al. 1998,0.087370407,2.930053883,1,1
0.02,0.03030303,Kortet et al. 2004,0.174077655,0.114891254,1,1
-0.365,0.058823529,Marie-Orleach unpubl,0.242535624,-1.504933559,6,0.166666667
-0.313,0.058823529,Marie-Orleach unpubl,0.242535624,-1.290532065,6,0.166666667
0.32,0.058823529,Marie-Orleach unpubl,0.242535624,1.319393805,6,0.166666667
-0.256,0.058823529,Marie-Orleach unpubl,0.242535624,-1.055515044,6,0.166666667
0.465,0.058823529,Marie-Orleach unpubl,0.242535624,1.917244123,6,0.166666667
-0.323,0.058823529,Marie-Orleach unpubl,0.242535624,-1.331763122,6,0.166666667
0.499,0.0625,Jacob et al. 2010,0.25,1.996,2,0.5
0.529,0.0625,Jacob et al. 2010,0.25,2.116,2,0.5
0.001,0.066666667,Petersson & Jarvi 2007,0.25819889,0.003872983,4,0.25
0.006,0.066666667,Petersson & Jarvi 2007,0.25819889,0.0232379,4,0.25
0.069,0.066666667,Petersson & Jarvi 2007,0.25819889,0.26723585,4,0.25
0.411,0.066666667,Petersson & Jarvi 2007,0.25819889,1.591796151,4,0.25
0.71,0.083333333,Wedekind et al. 2008b,0.288675134,2.459512152,2,0.5
-1.255,0.083333333,Wedekind et al. 2008b,0.288675134,-4.347447536,2,0.5
0.151,0.047619048,Eilertsen et al. 2009,0.218217891,0.691968927,1,1
0.001,0.01754386,Janhunen et al. 2011,0.132453237,0.007549834,2,0.5
-0.206,0.037037037,Janhunen et al. 2011,0.19245009,-1.0704074,2,0.5
-0.141,0.058823529,Kekalainen et al. 2010b,0.242535624,-0.581357895,3,0.333333333
0.028,0.058823529,Kekalainen et al. 2010b,0.242535624,0.115446958,3,0.333333333
0.071,0.058823529,Kekalainen et al. 2010b,0.242535624,0.2927405,3,0.333333333
1.649,0.333333333,Houtman 1992,0.577350269,2.856151783,2,0.5
0.759,0.090909091,Houtman 1992,0.301511345,2.517318215,2,0.5
0.658,0.058823529,Price & Burley 1993,0.242535624,2.713003511,1,1
0.064,0.0625,Simmons et al. 2010,0.25,0.256,24,0.041666667
-0.258,0.0625,Simmons et al. 2010,0.25,-1.032,24,0.041666667
0.256,0.0625,Simmons et al. 2010,0.25,1.024,24,0.041666667
-0.524,0.0625,Simmons et al. 2010,0.25,-2.096,24,0.041666667
-0.311,0.0625,Simmons et al. 2010,0.25,-1.244,24,0.041666667
0.279,0.0625,Simmons et al. 2010,0.25,1.116,24,0.041666667
0.092,0.0625,Simmons et al. 2010,0.25,0.368,24,0.041666667
0.133,0.0625,Simmons et al. 2010,0.25,0.532,24,0.041666667
0.163,0.0625,Simmons et al. 2010,0.25,0.652,24,0.041666667
-0.28,0.0625,Simmons et al. 2010,0.25,-1.12,24,0.041666667
-0.218,0.0625,Simmons et al. 2010,0.25,-0.872,24,0.041666667
-0.181,0.0625,Simmons et al. 2010,0.25,-0.724,24,0.041666667
-0.022,0.0625,Simmons et al. 2010,0.25,-0.088,24,0.041666667
0.041,0.0625,Simmons et al. 2010,0.25,0.164,24,0.041666667
0.323,0.0625,Simmons et al. 2010,0.25,1.292,24,0.041666667
-0.46,0.0625,Simmons et al. 2010,0.25,-1.84,24,0.041666667
-0.4,0.0625,Simmons et al. 2010,0.25,-1.6,24,0.041666667
0.171,0.0625,Simmons et al. 2010,0.25,0.684,24,0.041666667
-0.248,0.0625,Simmons et al. 2010,0.25,-0.992,24,0.041666667
-0.182,0.0625,Simmons et al. 2010,0.25,-0.728,24,0.041666667
-0.119,0.0625,Simmons et al. 2010,0.25,-0.476,24,0.041666667
-0.019,0.0625,Simmons et al. 2010,0.25,-0.076,24,0.041666667
0.238,0.0625,Simmons et al. 2010,0.25,0.952,24,0.041666667
0.344,0.0625,Simmons et al. 2010,0.25,1.376,24,0.041666667
0.334,0.083333333,Prokop unpubl.,0.288675134,1.157009942,4,0.25
-0.687,0.125,Prokop unpubl.,0.353553391,-1.943129435,4,0.25
0.099,0.1,Prokop unpubl.,0.316227766,0.313065488,4,0.25
0.551,0.1,Prokop unpubl.,0.316227766,1.742414991,4,0.25
0.25,0.011627907,Wilkinson & Taper 1999,0.107832773,2.318404622,1,1
-0.332,0.076923077,Boake 1985,0.277350098,-1.197043023,3,0.333333333
-0.1,0.076923077,Boake 1985,0.277350098,-0.360555127,3,0.333333333
0.354,0.076923077,Boake 1985,0.277350098,1.276365151,3,0.333333333
0.202,0.047619048,Edvardsson & Arnqvist 2006,0.218217891,0.925680287,3,0.333333333
-0.296,0.047619048,Edvardsson & Arnqvist 2006,0.218217891,-1.3564424,3,0.333333333
-0.041,0.047619048,Edvardsson & Arnqvist 2006,0.218217891,-0.187885603,3,0.333333333
0.287,0.019607843,Lancaster et al. 2009,0.140028008,2.049589966,1,1
0.781,0.01754386,Iyengar & Eisner 1999,0.132453237,5.896420635,2,0.5
0.495,0.01754386,Iyengar & Eisner 1999,0.132453237,3.737168008,2,0.5
-0.110446916,0.111111111,Robertson 1985,0.333333333,-0.331340748,5,0.2
0.40005965,0.083333333,Robertson 1985,0.288675134,1.385847282,5,0.2
0.562729769,0.1,Robertson 1985,0.316227766,1.779507777,5,0.2
0.472230804,0.015625,Reid 1988,0.125,3.777846432,9,0.111111111
0.13073985,0.012345679,Richardson et al. 2005,0.111111111,1.176658651,1,1
-1.324910848,0.142857143,Briggs 2007,0.377964473,-3.505384611,14,0.071428571
0.306226146,0.5,Briggs 2007,0.707106781,0.433069169,14,0.071428571
0.084198409,0.083333333,Briggs 2007,0.288675134,0.291671845,14,0.071428571
0.121595763,0.083333333,Briggs 2007,0.288675134,0.42122008,14,0.071428571
0.114497735,0.027777778,Briggs 2007,0.166666667,0.686986407,14,0.071428571
0.021003088,0.027777778,Briggs 2007,0.166666667,0.126018527,14,0.071428571
-0.875187127,0.016393443,Briggs 2007,0.128036881,-6.835429896,14,0.071428571
0.287682072,0.017857143,Briggs 2007,0.133630621,2.152815491,14,0.071428571
0.569510914,0.166666667,Briggs 2007,0.408248291,1.395011141,14,0.071428571
0.112471866,0.166666667,Briggs 2007,0.408248291,0.275498682,14,0.071428571
0.341706461,0.025,Briggs 2007,0.158113883,2.161141416,14,0.071428571
0.132774772,0.025,Briggs 2007,0.158113883,0.839741391,14,0.071428571
0.444055027,0.019607843,Briggs 2007,0.140028008,3.171187205,14,0.071428571
-0.153187103,0.020408163,Briggs 2007,0.142857142,-1.072309728,14,0.071428571
0.513927934,0.027027027,Masumoto 1999,0.164398987,3.126101582,8,0.125
0.441636481,0.045454545,Masumoto 1999,0.213200715,2.071458721,8,0.125
-0.838474102,0.058823529,Masumoto 1999,0.242535624,-3.457117299,8,0.125
0.629924172,0.071428571,Masumoto 1999,0.267261241,2.356960438,8,0.125
0.511354644,0.027027027,Masumoto 1999,0.164398987,3.11044887,8,0.125
0.312819583,0.045454545,Masumoto 1999,0.213200715,1.467253909,8,0.125
0.846049502,0.058823529,Masumoto 1999,0.242535624,3.488351473,8,0.125
0.292027659,0.071428571,Masumoto 1999,0.267261241,1.092667451,8,0.125
0.40005965,0.03030303,Wagner 1999,0.174077655,2.298167733,10,0.1
0.110446916,0.029411765,Wagner 1999,0.171498586,0.644010651,10,0.1
0.411800034,0.029411765,Wagner 1999,0.171498586,2.401186177,10,0.1
0.244774113,0.03125,Wagner 1999,0.176776695,1.384651481,10,0.1
0.080171325,0.04,Wagner 1999,0.2,0.400856625,10,0.1
0.010000333,0.035714286,Wagner 1999,0.188982237,0.052916788,10,0.1
0.13073985,0.03125,Wagner 1999,0.176776695,0.739576276,10,0.1
